Sl_No,Avg_Credit_Limit,Total_Credit_Cards,Total_visits_bank,Total_visits_online,Total_calls_made
386,8000,7,4,2,0
387,18000,5,2,2,2
388,8000,7,3,0,3
389,12000,5,4,2,1
390,11000,4,5,0,3
391,11000,4,2,0,4
392,13000,4,5,0,0
393,6000,4,4,0,0
394,20000,4,2,0,1
395,13000,7,4,0,1
396,5000,4,5,0,1
397,73000,6,4,2,0
398,49000,5,3,2,0
399,67000,6,2,2,2
400,61000,7,3,0,1
401,75000,7,3,2,4
402,48000,4,4,0,3
403,56000,4,2,0,2
404,72000,4,3,2,1
405,70000,7,2,0,4
406,51000,7,3,0,4
407,73000,6,2,0,2
408,50000,5,4,0,1
409,49000,5,3,0,1
410,69000,7,2,2,2
411,40000,5,2,2,2
412,44000,4,5,0,2
413,31000,6,5,2,1
414,37000,7,5,0,1
415,65000,4,3,0,3
416,48000,7,3,2,3
417,46000,5,2,2,3
418,61000,5,5,1,4
419,74000,5,2,0,0
420,58000,6,4,0,1
421,39000,5,3,2,2
422,70000,5,5,0,4
423,56000,6,3,1,0
424,52000,5,3,0,3
425,33000,5,4,2,0
426,47000,6,2,0,4
427,71000,7,2,0,2
428,50000,7,5,2,2
429,56000,4,4,0,3
430,41000,4,4,1,0
431,71000,6,4,0,0
432,72000,6,5,2,3
433,59000,6,2,1,2
434,64000,6,3,2,3
435,45000,4,2,1,2
436,74000,4,5,0,3
437,73000,4,2,1,1
438,54000,6,3,0,2
439,31000,7,2,1,4
440,66000,7,4,0,3
441,50000,5,3,0,3
442,27000,6,2,1,3
443,51000,4,3,0,3
444,65000,6,5,2,3
445,67000,6,5,2,0
446,43000,7,5,0,4
447,70000,5,4,0,2
448,61000,5,2,2,1
449,31000,4,4,2,1
450,36000,4,3,2,3
451,51000,7,3,2,0
452,36000,4,4,2,2
453,50000,5,4,2,3
454,74000,4,4,0,3
455,25000,4,3,0,2
456,47000,6,2,0,4
457,41000,6,5,2,3
458,57000,5,2,0,4
459,67000,7,2,1,3
460,74000,7,4,2,4
461,26000,6,4,2,3
462,38000,4,4,2,3
463,75000,4,4,0,1
464,38000,4,5,1,4
465,52000,4,2,1,2
466,48000,5,5,0,2
467,70000,6,2,0,3
468,36000,4,4,2,1
469,36000,5,5,0,4
470,66000,6,2,1,1
471,37000,5,5,1,4
472,48000,6,3,2,2
473,35000,6,3,1,4
474,26000,6,3,1,2
475,38000,4,3,1,4
476,45000,5,5,2,2
477,70000,6,5,0,4
478,51000,7,5,2,4
479,34000,6,3,2,1
480,47000,7,3,2,2
481,47000,6,2,0,0
482,30000,7,3,1,0
483,74000,4,2,0,4
484,30000,5,4,1,1
485,28000,5,4,1,1
486,58000,7,3,2,1
487,64000,4,2,2,2
488,39000,7,5,2,1
489,44000,6,4,0,2
490,50000,7,5,2,1
491,65000,4,2,0,0
492,63000,4,5,0,0
493,50000,6,4,2,0
494,35000,6,2,1,4
495,29000,4,3,0,1
496,56000,7,3,0,3
497,49000,5,3,2,3
498,52000,4,2,1,2
499,31000,4,4,1,0
500,68000,6,4,2,2
501,41000,5,4,0,4
502,38000,6,3,1,0
503,54000,6,2,2,4
504,70000,6,3,0,0
505,34000,6,5,1,0
506,68000,5,2,0,2
507,26000,6,5,2,3
508,42000,6,3,2,0
509,59000,7,2,0,3
510,30000,4,4,2,1
511,33000,6,2,2,2
512,49000,6,2,0,2
513,62000,6,2,1,3
514,40000,5,3,1,4
515,30000,5,2,2,3
516,37000,4,4,2,2
517,32000,7,4,0,3
518,62000,4,2,2,3
519,36000,7,4,0,2
520,57000,7,2,0,0
521,39000,6,4,0,4
522,70000,4,3,2,2
523,36000,7,5,0,0
524,69000,6,3,0,2
525,59000,7,3,2,4
526,71000,5,4,1,0
527,29000,4,2,2,3
528,37000,5,2,1,3
529,34000,4,3,0,1
530,34000,6,3,2,4
531,38000,4,3,0,0
532,32000,4,3,2,2
533,48000,4,3,2,2
534,36000,6,3,0,3
535,56000,6,4,0,3
536,28000,4,5,1,3
537,48000,4,4,1,0
538,68000,7,3,1,4
539,74000,7,4,1,3
540,70000,4,4,1,0
541,45000,7,2,0,3
542,60000,7,5,2,2
543,47000,5,5,1,2
544,60000,5,2,1,0
545,54000,6,3,1,2
546,28000,7,5,0,4
547,68000,7,2,1,4
548,26000,4,5,2,4
549,56000,4,3,0,4
550,39000,7,5,2,3
551,59000,7,5,2,3
552,37000,7,2,1,1
553,65000,7,3,2,1
554,41000,7,4,1,3
555,33000,5,2,2,0
556,52000,4,5,0,4
557,60000,4,5,0,4
558,62000,7,4,1,4
559,40000,6,5,1,2
560,41000,7,5,2,3
561,46000,6,3,1,0
562,29000,7,5,0,2
563,56000,7,3,0,1
564,69000,5,4,1,0
565,36000,7,4,0,0
566,69000,6,5,0,1
567,38000,6,5,0,1
568,29000,7,3,1,1
569,58000,6,5,1,0
570,72000,6,4,1,0
571,64000,4,2,1,1
572,36000,7,2,0,4
573,71000,7,4,0,2
574,66000,7,2,2,3
575,70000,4,3,2,0
576,73000,5,3,0,4
577,30000,6,3,1,1
578,44000,5,3,0,4
579,39000,7,5,0,3
580,65000,4,3,0,0
581,52000,4,5,2,1
582,26000,6,5,1,4
583,68000,6,5,1,0
584,52000,6,2,0,0
585,34000,6,4,1,3
586,39000,7,4,0,4
587,31000,7,3,0,2
588,70000,4,3,0,4
589,55000,4,3,1,0
590,29000,4,5,0,2
591,36000,6,2,2,3
592,68000,5,2,1,4
593,54000,5,4,2,1
594,66000,4,5,1,1
595,60000,4,2,1,4
596,41000,7,4,2,2
597,42000,6,4,2,0
598,38000,7,5,2,1
599,64000,5,4,1,2
600,57000,6,2,2,0
601,68000,7,5,0,0
602,33000,5,4,0,2
603,37000,7,4,0,1
604,60000,6,3,2,3
605,27000,7,3,0,2
606,36000,5,2,2,3
607,63000,5,3,1,3
608,34000,6,3,1,0
609,47000,4,4,1,0
610,38000,4,3,2,0
611,39000,7,2,1,0
612,46000,7,4,1,3
613,157000,9,1,14,1
614,94000,9,1,11,0
615,163000,8,1,7,1
616,131000,9,1,10,1
617,96000,10,1,11,2
618,136000,8,0,13,0
619,121000,7,0,13,2
620,158000,7,0,13,0
621,108000,10,0,15,1
622,166000,9,1,12,2
623,176000,10,1,15,2
624,166000,10,0,7,0
625,178000,7,0,11,0
626,91000,8,1,6,1
627,156000,9,1,10,2
628,146000,10,0,12,1
629,84000,9,1,15,0
630,155000,8,0,7,2
631,200000,10,0,13,0
632,195000,8,0,15,0
633,187000,7,1,7,0
634,163000,7,1,10,1
635,106000,8,0,8,1
636,114000,10,1,7,2
637,126000,10,1,8,0
638,173000,9,1,11,0
639,153000,8,1,7,1
640,184000,7,1,15,2
641,123000,8,1,15,2
642,144000,10,0,10,2
643,97000,10,1,9,2
644,98000,9,0,8,2
645,127000,10,1,15,1
646,171000,10,0,15,0
647,186000,7,0,8,1
648,183000,9,0,9,2
649,111000,8,1,7,0
650,112000,10,1,8,1
651,195000,10,1,12,2
652,132000,9,1,12,2
653,156000,8,1,8,0
654,95000,10,0,15,1
655,172000,10,1,9,1
656,99000,10,1,10,0
657,84000,10,1,13,2
658,145000,8,1,9,1
659,172000,10,1,15,0
660,167000,9,0,12,2
